Player,Tm,Pos,Type,Class,Details
Ricardo Allen,ATL,S,Achilles,I-R,Allen suffered a torn Achilles and is on the injured reserve list.
Andy Levitre,ATL,G,Tricep,I-R,Levitre is on the injured reserve list with a torn triceps.
Keanu Neal,ATL,S,Knee,I-R,Neal is on injured reserve with a torn ACL.
Brandon Fusco,ATL,G,Ankle,I-R,Fusco is on injured reserve due to an ankle injury.
Derrick Shelby,ATL,DE,Groin,I-R,Shelby has landed on injured reserve due to an injured groin muscle.
Ben Garland,ATL,G,Back,probable,Garland is battling a back injury but it is unlikely to prevent him from playing against the Cardinals on Sunday.
Ito Smith,ATL,RB,Neck,probable,Smith is dealing with a neck injury but is likely to play Sunday against the Cardinals.
Terrell McClain,ATL,DT,Toe,out,McClain is nursing a toe injury and will not be available Sunday against the Cardinals.
Julio Jones,ATL,WR,Foot,probable,Jones is expected to play Sunday against the Cardinals despite dealing with a foot injury and an unspecified illness.
Deion Jones,ATL,LB,Foot,questionable,Jones is tending to a foot injury and it has yet to be established if it will hinder his availability against the Cardinals on Sunday.
Grady Jarrett,ATL,DT,Groin,questionable,Jarrett is dealing with injuries to his groin and shin. It is unknown if he will suit up against the Cardinals on Sunday.
Austin Hooper,ATL,TE,Knee,questionable,Hooper departed the last game due to a knee injury and it is unknown if he will partake in Sunday's contest against the Cardinals.
Devonta Freeman,ATL,RB,Groin,I-R,"Freeman in on injured reserve with a groin injury, and it is unknown if he will be designated for return against the Cardinals on Sunday."
Logan Paulsen,ATL,TE,Knee,questionable,Paulsen sat out the last game with a knee injury and it is unclear if he will participate in Sunday's contest against the Cardinals.
Josh Harris,ATL,LS,Knee,I-R,Harris has been designated for the injured reserve list due to a knee injury.
Cory Carter,BUF,P,Knee,I-R,Carter is recovering from a torn ACL and has been placed on injured reserve.
Taiwan Jones,BUF,RB,Neck,I-R,Jones has landed on injured reserve due to a neck injury.
Corey Bojorquez,BUF,P,Shoulder,I-R,Bojorquez has been placed on injured reserve with a shoulder injury.
LeSean McCoy,BUF,RB,Hamstring,questionable,McCoy left the last game with a hamstring strain and did not return. His Status for Sunday against the Lions is undetermined.
Chris Ivory,BUF,RB,Shoulder,probable,Ivory was forced from his last game with a shoulder injury but is expected to be available for Sunday's clash with the Lions.
